ensembl_gene_id	external_gene_name	hsapiens_homolog_ensembl_gene	hsapiens_homolog_associated_gene_name	hsapiens_homolog_ensembl_peptide	hsapiens_homolog_chromosome	hsapiens_homolog_chrom_start	hsapiens_homolog_chrom_end	hsapiens_homolog_canonical_transcript_protein	hsapiens_homolog_subtype	hsapiens_homolog_orthology_type	hsapiens_homolog_perc_id	hsapiens_homolog_perc_id_r1	hsapiens_homolog_goc_score	hsapiens_homolog_wga_coverage	hsapiens_homolog_orthology_confidence
ENSTGUG00000001739	MRPL1	ENSG00000169288	MRPL1	ENSP00000315017	4	77862830	77952785	ENSTGUP00000025661	Amniota	ortholog_one2one	37.6289	44.9231	50	58.23	1
ENSTGUG00000001752	UBP1	ENSG00000153560	UBP1	ENSP00000283629	3	33388336	33441371	ENSTGUP00000001810	Amniota	ortholog_one2one	89.5522	88.8889	100	100	1
ENSTGUG00000001755	FBXL2	ENSG00000153558	FBXL2	ENSP00000417601	3	33277025	33403662	ENSTGUP00000001814	Amniota	ortholog_one2one	88.7097	91.0165	100	98.53	1
ENSTGUG00000001757	NPFFR2	ENSG00000056291	NPFFR2	ENSP00000307822	4	72031902	72148305	ENSTGUP00000001811	Amniota	ortholog_one2one	60.5528	57.381	0	58.91	1
ENSTGUG00000001759	GSR	ENSG00000104687	GSR	ENSP00000221130	8	30678066	30727846	ENSTGUP00000020062	Amniota	ortholog_one2one	66.1509	65.5172	50	82.04	1
ENSTGUG00000001761	SUSD5	ENSG00000173705	SUSD5	ENSP00000308727	3	33150043	33218810	ENSTGUP00000001816	Amniota	ortholog_one2one	44.3697	41.9714	75	95.77	1
ENSTGUG00000001762	PPP2CB	ENSG00000104695	PPP2CB	ENSP00000221138	8	30774457	30814314	ENSTGUP00000001817	Amniota	ortholog_one2one	97.0874	97.0874	75	89.69	1
ENSTGUG00000001764	PURG	ENSG00000172733	PURG	ENSP00000466881	8	30995802	31033715	ENSTGUP00000034182	Amniota	ortholog_one2one	59.0909	71.1816	75	84.87	1
ENSTGUG00000001765	WRN	ENSG00000165392	WRN	ENSP00000298139	8	31033788	31176138	ENSTGUP00000001824	Amniota	ortholog_one2one	50.5176	51.1173	50	65.65	1
ENSTGUG00000001769	PDIA4	ENSG00000155660	PDIA4	ENSP00000499129	7	149003062	149028662	ENSTGUP00000001823	Amniota	ortholog_one2one	78.2467	74.7287	50	94.95	1
ENSTGUG00000001770	EZH2	ENSG00000106462	EZH2	ENSP00000320147	7	148807257	148884321	ENSTGUP00000030304	Euteleostomi	ortholog_one2one	85.733	87.217	75	94.47	1
ENSTGUG00000001771	GTF2E2	ENSG00000197265	GTF2E2	ENSP00000348168	8	30578318	30658236	ENSTGUP00000023182	Amniota	ortholog_one2one	87.2852	87.2852	75	100	1
ENSTGUG00000001776	RBPMS	ENSG00000157110	RBPMS	ENSP00000380486	8	30384511	30572256	ENSTGUP00000032432	Euteleostomi	ortholog_one2one	50.3185	80.6122	50	77.28	1
ENSTGUG00000001779	DCTN6	ENSG00000104671	DCTN6	ENSP00000221114	8	30156319	30183639	ENSTGUP00000025279	Amniota	ortholog_one2one	53.7217	87.3684	50	79	1
ENSTGUG00000001783	BTC	ENSG00000174808	BTC	ENSP00000379092	4	74744759	74794523	ENSTGUP00000001838	Amniota	ortholog_one2one	55.2147	50.5618	50	51.71	1
ENSTGUG00000001787	RCHY1	ENSG00000163743	RCHY1	ENSP00000321239	4	75479033	75514764	ENSTGUP00000001844	Amniota	ortholog_one2one	75.6654	76.2452	75	85.76	1
ENSTGUG00000001790	CUL1	ENSG00000055130	CUL1	ENSP00000326804	7	148697914	148801110	ENSTGUP00000001846	Amniota	ortholog_one2one	99.8711	99.8711	100	100	1
ENSTGUG00000001792	CDKL2	ENSG00000138769	CDKL2	ENSP00000306340	4	75576496	75630716	ENSTGUP00000001848	Amniota	ortholog_one2one	56.5428	61.4035	50	70.1	1
ENSTGUG00000001794	CNTNAP2	ENSG00000174469	CNTNAP2	ENSP00000354778	7	146116002	148420998	ENSTGUP00000001856	Euteleostomi	ortholog_one2one	84.3373	84.1473	75	100	1
ENSTGUG00000001796	AP1AR	ENSG00000138660	AP1AR	ENSP00000274000	4	112231740	112273110	ENSTGUP00000001851	Amniota	ortholog_one2one	77.3333	76.8212	50	90.93	1
ENSTGUG00000001799	TIFA	ENSG00000145365	TIFA	ENSP00000354911	4	112274537	112285904	ENSTGUP00000001852	Amniota	ortholog_one2one	46.5241	47.2826	50	98.67	1
ENSTGUG00000001800	ALPK1	ENSG00000073331	ALPK1	ENSP00000498374	4	112285509	112442621	ENSTGUP00000001853	Amniota	ortholog_one2one	51.4238	49.3569	100	98.15	1
ENSTGUG00000001803	TPK1	ENSG00000196511	TPK1	ENSP00000353165	7	144451941	144836395	ENSTGUP00000035772	Amniota	ortholog_one2one	75	75.3086	50	84.36	1
ENSTGUG00000001804	LARP7	ENSG00000174720	LARP7	ENSP00000344950	4	112637107	112657592	ENSTGUP00000019450	Amniota	ortholog_one2one	72.3729	73.3677	100	69.77	1
ENSTGUG00000001806	EGFR	ENSG00000146648	EGFR	ENSP00000275493	7	55019017	55211628	ENSTGUP00000001863	Amniota	ortholog_one2one	76.1866	76.9421	50	94.12	1
ENSTGUG00000001807	ANK2	ENSG00000145362	ANK2	ENSP00000349588	4	112818032	113384221	ENSTGUP00000018475	Amniota	ortholog_one2one	83.2268	39.4996	100	96.68	1
ENSTGUG00000001812	VOPP1	ENSG00000154978	VOPP1	ENSP00000285279	7	55436056	55572988	ENSTGUP00000001867	Amniota	ortholog_one2one	82.1429	80.2326	50	88.37	1
ENSTGUG00000001814	BLVRA	ENSG00000106605	BLVRA	ENSP00000265523	7	43758680	43807342	ENSTGUP00000001869	Amniota	ortholog_one2one	57.7703	57.7703	50	95.8	1
ENSTGUG00000001817	HECW1	ENSG00000002746	HECW1	ENSP00000379228	7	43112629	43566001	ENSTGUP00000001878	Amniota	ortholog_one2one	81.1029	81.5069	100	100	1
ENSTGUG00000001824	MRPL32	ENSG00000106591	MRPL32	ENSP00000223324	7	42932376	42948958	ENSTGUP00000001880	Amniota	ortholog_one2one	61.4973	61.1702	100	78.16	1
ENSTGUG00000001831	C7orf25	ENSG00000136197	C7orf25	ENSP00000343364	7	42908726	42912305	ENSTGUP00000033936	Amniota	ortholog_one2one	80.2784	82.1853	100	99.11	1
ENSTGUG00000001834	GLI3	ENSG00000106571	GLI3	ENSP00000379258	7	41960949	42264100	ENSTGUP00000001895	Amniota	ortholog_one2one	77.4603	77.2152	100	100	1
ENSTGUG00000001839	ARSJ	ENSG00000180801	ARSJ	ENSP00000320219	4	113900284	113979727	ENSTGUP00000001894	Amniota	ortholog_one2one	85.4281	78.2972	100	98.39	1
ENSTGUG00000001840	UGT8	ENSG00000174607	UGT8	ENSP00000311648	4	114598770	114678225	ENSTGUP00000031022	Amniota	ortholog_one2one	85.0277	85.0277	100	100	1
ENSTGUG00000001843	INHBA	ENSG00000122641	INHBA	ENSP00000242208	7	41667168	41705834	ENSTGUP00000001898	Amniota	ortholog_one2one	64.4007	84.507	100	100	1
ENSTGUG00000001844	SUGCT	ENSG00000175600	SUGCT	ENSP00000338475	7	40135005	40860763	ENSTGUP00000001900	Amniota	ortholog_one2one	70.6522	74.2009	100	79.05	1
ENSTGUG00000001847	NDST4	ENSG00000138653	NDST4	ENSP00000264363	4	114827763	115113876	ENSTGUP00000001910	Amniota	ortholog_one2one	80.9886	73.2798	100	57.08	1
ENSTGUG00000001848	MPLKIP	ENSG00000168303	MPLKIP	ENSP00000304553	7	40126027	40134622	ENSTGUP00000001905	Amniota	ortholog_one2one	64.5714	63.1285	100	80.08	1
ENSTGUG00000001850	CDK13	ENSG00000065883	CDK13	ENSP00000181839	7	39950121	40099580	ENSTGUP00000001909	Amniota	ortholog_one2one	71.9562	69.5767	100	97.33	1
ENSTGUG00000001854	RALA	ENSG00000006451	RALA	ENSP00000005257	7	39623565	39708120	ENSTGUP00000026520	Amniota	ortholog_one2one	99.0291	99.0291	100	80.27	1
ENSTGUG00000001856	NDST3	ENSG00000164100	NDST3	ENSP00000296499	4	118033618	118258634	ENSTGUP00000025676	Amniota	ortholog_one2one	83.2599	86.5979	100	75.72	1
ENSTGUG00000001859	POU6F2	ENSG00000106536	POU6F2	ENSP00000430514	7	38977909	39493095	ENSTGUP00000001915	Tetrapoda	ortholog_one2one	88.8218	81.6667	100	100	1
ENSTGUG00000001860	VPS41	ENSG00000006715	VPS41	ENSP00000309457	7	38722974	38932394	ENSTGUP00000029394	Amniota	ortholog_one2one	86.8009	90.8665	75	97.64	1
ENSTGUG00000001861	PRSS12	ENSG00000164099	PRSS12	ENSP00000296498	4	118280038	118353003	ENSTGUP00000001921	Amniota	ortholog_one2one	77.3562	72.2286	100	95.7	1
ENSTGUG00000001867	METTL14	ENSG00000145388	METTL14	ENSP00000373474	4	118685392	118715433	ENSTGUP00000021954	Amniota	ortholog_one2one	82.643	91.886	100	96.29	1
ENSTGUG00000001869	AMPH	ENSG00000078053	AMPH	ENSP00000348602	7	38383704	38631420	ENSTGUP00000032420	Amniota	ortholog_one2one	73.7075	71.7986	50	87.96	1
ENSTGUG00000001870	SEC24D	ENSG00000150961	SEC24D	ENSP00000280551	4	118722823	118838683	ENSTGUP00000021359	Amniota	ortholog_one2one	69.8079	73.9341	100	94.04	1
ENSTGUG00000001883	MYOZ2	ENSG00000172399	MYOZ2	ENSP00000306997	4	119135832	119187789	ENSTGUP00000001945	Amniota	ortholog_one2one	70.3422	70.0758	100	98.52	1
ENSTGUG00000001892	USP53	ENSG00000145390	USP53	ENSP00000274030	4	119212587	119295517	ENSTGUP00000026031	Amniota	ortholog_one2one	60.9848	60.0186	100	86.37	1
ENSTGUG00000001896	FABP2	ENSG00000145384	FABP2	ENSP00000274024	4	119317250	119322138	ENSTGUP00000001952	Vertebrata	ortholog_one2one	68.9394	68.9394	100	100	1
ENSTGUG00000001899	PDE5A	ENSG00000138735	PDE5A	ENSP00000347046	4	119494397	119628804	ENSTGUP00000001971	Amniota	ortholog_one2one	87.6325	85.0286	100	100	1
ENSTGUG00000001916	RPL7L1	ENSG00000146223	RPL7L1	ENSP00000418221	6	42879616	42889925	ENSTGUP00000001973	Amniota	ortholog_one2one	66.9355	65.098	0	72.01	1
ENSTGUG00000001917	MAD2L1	ENSG00000164109	MAD2L1	ENSP00000296509	4	120055623	120066858	ENSTGUP00000001975	Amniota	ortholog_one2one	85.0962	86.3415	100	97.47	1
ENSTGUG00000001920	PRDM5	ENSG00000138738	PRDM5	ENSP00000264808	4	120684919	120922870	ENSTGUP00000023550	Amniota	ortholog_one2one	84.8341	85.2381	100	92.34	1
ENSTGUG00000001927	NDNF	ENSG00000173376	NDNF	ENSP00000369014	4	121035613	121073021	ENSTGUP00000001983	Amniota	ortholog_one2one	86.0781	89.2606	100	98.58	1
ENSTGUG00000001928	TNIP3	ENSG00000050730	TNIP3	ENSP00000057513	4	121131408	121227466	ENSTGUP00000020621	Amniota	ortholog_one2one	36.8932	46.7692	100	48.33	1
ENSTGUG00000001929	QRFPR	ENSG00000186867	QRFPR	ENSP00000377948	4	121328642	121381059	ENSTGUP00000001985	Euteleostomi	ortholog_one2one	78.0093	78.1903	100	99.92	1
ENSTGUG00000001930	ANXA5	ENSG00000164111	ANXA5	ENSP00000296511	4	121667946	121696995	ENSTGUP00000029432	Amniota	ortholog_one2one	78.1931	78.4375	100	98.47	1
ENSTGUG00000001934	CDH9	ENSG00000113100	CDH9	ENSP00000231021	5	26880597	27121150	ENSTGUP00000001995	Amniota	ortholog_one2one	83.8143	84.6641	100	100	1
ENSTGUG00000001938	EXOSC9	ENSG00000123737	EXOSC9	ENSP00000243498	4	121801318	121817021	ENSTGUP00000001997	Amniota	ortholog_one2one	75.0552	77.4487	100	96.98	1
ENSTGUG00000001940	CDH6	ENSG00000113361	CDH6	ENSP00000265071	5	31193686	31329146	ENSTGUP00000024761	Amniota	ortholog_one2one	86.9785	87.0886	100	99.88	1
ENSTGUG00000001941	CCNA2	ENSG00000145386	CCNA2	ENSP00000274026	4	121816444	121823883	ENSTGUP00000002005	Amniota	ortholog_one2one	66.2562	62.2685	100	69.08	1
ENSTGUG00000001945	NET1	ENSG00000173848	NET1	ENSP00000347134	10	5412557	5459056	ENSTGUP00000002008	Amniota	ortholog_one2one	77.1044	76.8456	50	92.65	1
ENSTGUG00000001949	BBS7	ENSG00000138686	BBS7	ENSP00000264499	4	121824329	121870487	ENSTGUP00000002009	Amniota	ortholog_one2one	81.1373	81.8182	100	98.22	1
ENSTGUG00000001954	TRPC3	ENSG00000138741	TRPC3	ENSP00000368966	4	121874481	121952060	ENSTGUP00000002024	Amniota	ortholog_one2one	92.7411	92.9425	100	100	1
ENSTGUG00000001955	DROSHA	ENSG00000113360	DROSHA	ENSP00000339845	5	31400494	31532196	ENSTGUP00000002025	Amniota	ortholog_one2one	87.1257	84.7162	75	98.47	1
ENSTGUG00000001956	LRGUK	ENSG00000155530	LRGUK	ENSP00000495637	7	134127299	134264591	ENSTGUP00000033550	Amniota	ortholog_one2one	42.5393	28.7611	50	54.45	1
ENSTGUG00000001959	EXOC4	ENSG00000131558	EXOC4	ENSP00000253861	7	133253073	134066589	ENSTGUP00000002018	Amniota	ortholog_one2one	89.2418	89.425	75	99.51	1
ENSTGUG00000001964	CHCHD3	ENSG00000106554	CHCHD3	ENSP00000262570	7	132784870	133082090	ENSTGUP00000027144	Amniota	ortholog_one2one	67.9325	70.9251	100	83.95	1
ENSTGUG00000001967	PLXNA4	ENSG00000221866	PLXNA4	ENSP00000352882	7	132123332	132648688	ENSTGUP00000002023	Euteleostomi	ortholog_one2one	92.1776	92.0803	100	96.24	1
ENSTGUG00000001968	KIAA1109	ENSG00000138688	KIAA1109	ENSP00000505357	4	122152331	122362758	ENSTGUP00000002044	Euteleostomi	ortholog_one2one	91.1057	88.494	100	100	1
ENSTGUG00000001970	C5orf22	ENSG00000082213	C5orf22	ENSP00000326879	5	31532287	31555053	ENSTGUP00000002029	Amniota	ortholog_one2one	43.1784	65.1584	50	80.76	1
ENSTGUG00000001975	CDH20	ENSG00000101542	CDH20	ENSP00000262717	18	61333430	61555779	ENSTGUP00000002041	Amniota	ortholog_one2one	88.8471	88.5144	50	100	1
ENSTGUG00000001982	MKLN1	ENSG00000128585	MKLN1	ENSP00000323527	7	131110096	131496632	ENSTGUP00000026061	Amniota	ortholog_one2one	95.9128	95.7823	50	100	1
ENSTGUG00000001988	PIGN	ENSG00000197563	PIGN	ENSP00000492233	18	61905255	62187118	ENSTGUP00000002054	Amniota	ortholog_one2one	70.418	70.5693	100	96.03	1
ENSTGUG00000001990	ADAD1	ENSG00000164113	ADAD1	ENSP00000296513	4	122378966	122429802	ENSTGUP00000032256	Amniota	ortholog_one2one	56.4374	55.5556	100	81.97	1
ENSTGUG00000001999	RELCH	ENSG00000134444	RELCH	ENSP00000494314	18	62187255	62310249	ENSTGUP00000034632	Vertebrata	ortholog_one2one	84.1625	83.4704	100	100	1
ENSTGUG00000002002	MAP4K3	ENSG00000011566	MAP4K3	ENSP00000263881	2	39249266	39437301	ENSTGUP00000002097	Amniota	ortholog_one2one	91.5273	91.8344	50	79.53	1
ENSTGUG00000002007		ENSG00000138684	IL21	ENSP00000497915	4	122610108	122621066	ENSTGUP00000035114	Amniota	ortholog_one2one	18.0412	21.6049	100	64.37	0
ENSTGUG00000002009		ENSG00000134460	IL2RA	ENSP00000369293	10	6010689	6062370	ENSTGUP00000002066	Amniota	ortholog_one2one	16.7213	18.75	50	0	0
ENSTGUG00000002013	RBM17	ENSG00000134453	RBM17	ENSP00000369218	10	6089034	6117457	ENSTGUP00000002081	Amniota	ortholog_one2one	94.9875	94.5137	50	100	1
ENSTGUG00000002016	BBS12	ENSG00000181004	BBS12	ENSP00000319062	4	122732702	122744942	ENSTGUP00000002074	Amniota	ortholog_one2one	43.67	43.2394	100	89.69	1
ENSTGUG00000002025	PFKFB3	ENSG00000170525	PFKFB3	ENSP00000369100	10	6144934	6254644	ENSTGUP00000035982	Amniota	ortholog_one2one	85.214	84.2308	100	98.27	1
ENSTGUG00000002028	PHLPP1	ENSG00000081913	PHLPP1	ENSP00000262719	18	62715541	62980433	ENSTGUP00000002089	Amniota	ortholog_one2one	76.6871	72.8014	100	98.95	1
ENSTGUG00000002029	SPATA5	ENSG00000145375	SPATA5	ENSP00000274008	4	122923070	123319433	ENSTGUP00000002095	Amniota	ortholog_one2one	70.1094	64.6137	100	97.04	1
ENSTGUG00000002036	KDSR	ENSG00000119537	KDSR	ENSP00000494352	18	63327726	63367228	ENSTGUP00000002100	Euteleostomi	ortholog_one2one	76.5579	77.7108	100	93.41	1
ENSTGUG00000002037	PRKCQ	ENSG00000065675	PRKCQ	ENSP00000263125	10	6427143	6580301	ENSTGUP00000030581	Amniota	ortholog_one2one	76.9332	83.1445	100	96.67	1
ENSTGUG00000002038	SPRY1	ENSG00000164056	SPRY1	ENSP00000498292	4	123396795	123403760	ENSTGUP00000002098	Amniota	ortholog_one2one	82.0809	89.0282	100	98.98	1
ENSTGUG00000002040	SOS1	ENSG00000115904	SOS1	ENSP00000384675	2	38981549	39124345	ENSTGUP00000002133	Amniota	ortholog_one2one	91.3011	90.5476	75	99.45	1
ENSTGUG00000002041	ANKRD50	ENSG00000151458	ANKRD50	ENSP00000425658	4	124664048	124712732	ENSTGUP00000002099	Amniota	ortholog_one2one	93.6486	92.8621	100	100	1
ENSTGUG00000002042	FAT4	ENSG00000196159	FAT4	ENSP00000377862	4	125314918	125492932	ENSTGUP00000002105	Amniota	ortholog_one2one	81.9865	82.661	100	99.79	1
ENSTGUG00000002043	VPS4B	ENSG00000119541	VPS4B	ENSP00000238497	18	63389190	63422483	ENSTGUP00000002118	Amniota	ortholog_one2one	88.8889	88.2883	100	98.04	1
ENSTGUG00000002049	INTU	ENSG00000164066	INTU	ENSP00000334003	4	127623271	127726737	ENSTGUP00000002128	Amniota	ortholog_one2one	62.4592	60.9342	100	97.06	1
ENSTGUG00000002052	SFMBT2	ENSG00000198879	SFMBT2	ENSP00000380353	10	7158624	7411488	ENSTGUP00000028727	Amniota	ortholog_one2one	79.288	82.2148	100	93.61	1
ENSTGUG00000002060	SERPINB5	ENSG00000206075	SERPINB5	ENSP00000372221	18	63476958	63505085	ENSTGUP00000002126	Amniota	ortholog_one2one	64.9867	65.3333	75	100	1
ENSTGUG00000002068	HSPA4L	ENSG00000164070	HSPA4L	ENSP00000296464	4	127781821	127840733	ENSTGUP00000002147	Amniota	ortholog_one2one	78.8126	80.6913	100	99.14	1
ENSTGUG00000002073	ARHGEF33	ENSG00000214694	ARHGEF33	ENSP00000387020	2	38889875	38975454	ENSTGUP00000002138	Amniota	ortholog_one2one	67.9648	62.1839	100	93.92	1
ENSTGUG00000002076	DHX57	ENSG00000163214	DHX57	ENSP00000405111	2	38797729	38875934	ENSTGUP00000002144	Amniota	ortholog_one2one	71.8949	65.1515	100	91.19	1
ENSTGUG00000002077	ITIH5	ENSG00000123243	ITIH5	ENSP00000380333	10	7559270	7666998	ENSTGUP00000002152	Amniota	ortholog_one2one	61.409	61.9958	100	93.66	1
ENSTGUG00000002079		ENSG00000242550	SERPINB10	ENSP00000238508	18	63897174	63936111	ENSTGUP00000029595	Amniota	ortholog_one2one	49.7573	51.6373	25	40.46	0
ENSTGUG00000002083	PLK4	ENSG00000142731	PLK4	ENSP00000270861	4	127880893	127899224	ENSTGUP00000002148	Vertebrata	ortholog_one2one	65.1639	65.567	100	98.62	1
ENSTGUG00000002084	MFSD8	ENSG00000164073	MFSD8	ENSP00000493218	4	127917799	127966034	ENSTGUP00000002154	Amniota	ortholog_one2one	66.4193	69.112	100	95.17	1
